id,title,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
84274.0,Disraeli,,,1929,1.4,5.833,90.0,2.8558571428571424,24.36,9.789,0.8483333333333332,5.09,1.164
113430.0,The Green Goddess,,,1930,1.118,4.7,73.0,1.838428571428571,14.069,3.85,0.8525714285714284,6.568,1.96
111754.0,The Big Pond,,,1930,0.869,5.9,72.0,2.253285714285714,16.373,5.289,1.1165714285714283,11.415999999999999,1.932
81829.0,Bulldog Drummond,550000.0,,1929,1.802,6.313,90.0,3.105714285714285,27.018999999999995,9.337,1.4492857142857145,16.621000000000002,2.285
114063.0,The Rogue Song,,,1930,0.875,5.0,104.0,3.0307142857142852,24.552,8.547,2.1904285714285714,18.963000000000005,6.5
104215.0,The Devil's Holiday,,,1930,0.741,6.4,80.0,2.2444285714285717,22.537000000000003,4.236,1.6338571428571427,16.017,1.96
104216.0,Sarah and Son,,,1930,0.6,5.0,86.0,2.1915714285714287,19.386999999999997,3.112,0.7142857142857142,7.399999999999999,1.176
42812.0,Anna Christie,,,1930,3.791,6.329,89.0,3.013142857142857,22.613999999999997,10.418,1.361142857142857,11.328,2.074
80708.0,The Divorcee,340691.0,,1930,3.364,6.4,84.0,3.1350000000000002,26.237000000000002,14.334,1.515,14.843999999999998,2.074
99767.0,Their Own Desire,,,1929,0.948,4.7,65.0,3.366285714285714,26.422,10.448,1.4952857142857143,11.666999999999998,2.913
53796.0,The Trespasser,,,1929,1.201,6.8,90.0,2.338714285714286,29.886,3.93,1.491857142857143,15.862999999999996,2.285
108213.0,King of Jazz,2000000.0,,1930,3.937,6.114,98.0,3.895428571428571,47.518,10.152,1.1097142857142859,22.68200000000001,1.4
51759.0,The Love Parade,,,1930,1.904,6.481,107.0,3.5575714285714293,31.638999999999996,5.729,1.4964285714285714,12.874999999999998,2.181
134914.0,Sally,,,1930,0.6,7.2,103.0,1.4045714285714286,14.890999999999998,2.68,0.9172857142857141,7.021,1.55
173668.0,The Vagabond King,1200000.0,,1930,1.121,6.0,104.0,2.241285714285714,26.488999999999997,5.036,1.317,12.818999999999997,2.072
22301.0,Hell's Angels,3950000.0,8000000.0,1930,7.425,6.5,131.0,2.626142857142857,30.75100000000001,7.098,2.0200000000000005,22.894000000000005,3.35
101383.0,With Byrd at the South Pole,,,1930,0.775,6.4,82.0,0.6,1.2,0.6,0.9371428571428569,7.16,1.4
42812.0,Anna Christie,,,1930,3.791,6.329,89.0,3.013142857142857,22.613999999999997,10.418,1.361142857142857,11.328,2.074
143.0,All Quiet on the Western Front,1448864.0,3270000.0,1930,19.221,7.8,133.0,3.2465714285714284,59.676,6.556,1.6268571428571426,17.608,4.154
72856.0,Hallelujah,,,1929,1.809,6.5,100.0,1.5747142857142857,14.023,5.126,2.075571428571428,18.502999999999997,4.018
47250.0,The Big House,,,1930,2.85,6.667,87.0,4.276714285714286,46.535999999999994,14.334,1.4324285714285714,15.488999999999999,2.074
173715.0,The Case of Sergeant Grischa,,,1930,1.346,,91.0,1.214,11.514999999999999,1.539,0.657,2.628,0.828
104439.0,Raffles,,,1930,1.112,6.0,72.0,2.380714285714286,18.701,3.654,1.4188571428571426,12.383999999999999,2.285
42061.0,Street of Chance,,,1942,1.7,5.2,74.0,4.9957142857142856,43.06999999999999,14.53,1.3231428571428572,11.889999999999999,2.129
