,id,original_title,budget,revenue,release_date,popularity.1,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity,percentage_revenue,Won
143,414,Batman Forever,100000000.0,336529144.0,1995.0,23.098,5.403,121.0,31.98514286,349.677,46.476,11.73114286,261.182,26.412,336.53,False
144,415,Batman & Robin,125000000.0,238207122.0,1997.0,28.236,4.322,125.0,22.93142857,392.316,35.397,10.22742857,249.857,26.412,190.57,False
145,421,The Life Aquatic with Steve Zissou,50000000.0,34808403.0,2004.0,17.24,7.131,119.0,31.68542857,343.013,54.128,9.240142857,192.126,15.989,69.62,False
146,423,The Pianist,35000000.0,120072577.0,2002.0,39.318,8.384,150.0,12.60614286,230.185,28.838,3.563714286,66.108,4.342,343.06,True
147,424,Schindler's List,22000000.0,321365567.0,1993.0,54.184,8.569,195.0,30.86642857,442.217,91.438,13.28614286,162.805,33.237,1460.75,True
148,425,Ice Age,59000000.0,383257136.0,2002.0,121.951,7.342,81.0,28.62314286,285.459,54.329,5.468714286,166.034,15.053,649.59,False
149,431,Cube,350000.0,8969065.0,1997.0,16.693,6.797,90.0,7.101428571,49.71,9.848,4.078857143,95.14,6.836,2562.59,False
150,435,The Day After Tomorrow,125000000.0,552639571.0,2004.0,37.296,6.498,124.0,26.52257143,352.732,46.211,6.031285714,381.882,8.352,442.11,False
151,436,"María, llena eres de gracia",3000000.0,12450821.0,2004.0,13.31,7.24,101.0,4.443714286,37.2,12.813,2.059285714,52.446,2.64,415.03,False
152,437,Cube 2: Hypercube,,3563603.0,2002.0,15.522,5.496,94.0,8.607571429,69.313,31.808,2.766857143,86.586,3.616,187.66,False
153,438,Cube Zero,825000.0,,2004.0,15.717,5.7,97.0,7.548428571,71.738,15.816,2.779285714,100.954,3.627,187.66,False
154,440,Aliens vs Predator: Requiem,40000000.0,130290885.0,2007.0,52.728,5.1,94.0,11.05385714,237.783,14.522,7.165,285.886,11.346,325.73,False
