,id,title,budget,revenue,release_date,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity,percentage_revenue,Won
3341,497,The Green Mile,60000000.0,286801374.0,1999.0,8.507,189.0,32.25114285714286,411.026,109.663,16.05114285714286,173.60799999999995,23.007,478.0,1.0
3342,1213,The Talented Mr. Ripley,40000000.0,128798265.0,1999.0,7.175,139.0,24.079571428571427,284.93000000000006,47.591,4.411428571428572,88.16899999999997,6.792,322.0,1.0
3343,745,The Sixth Sense,40000000.0,672806292.0,1999.0,7.944,107.0,20.57685714285714,220.97600000000003,38.785,6.710285714285715,147.05999999999997,12.96,1682.02,1.0
3344,55123,Tumbleweeds,312000.0,1281176.0,1999.0,6.488,102.0,7.116857142857143,70.946,10.336,2.8171428571428563,63.922,4.202,410.63,1.0
3345,20024,The End of the Affair,23000000.0,10827816.0,1999.0,6.609,102.0,22.01142857142857,160.97199999999998,41.501,3.1715714285714283,34.748,4.112,47.08,1.0
3346,26149,Music of the Heart,27000000.0,14859394.0,1999.0,6.736,124.0,18.61528571428571,165.93999999999997,32.017,4.049428571428571,45.307,6.761,55.03,1.0
3347,226,Boys Don't Cry,2000000.0,11540607.0,1999.0,7.449,118.0,14.282000000000002,134.753,35.174,1.98,34.693,2.571,577.03,1.0
3348,3558,"Girl, Interrupted",40000000.0,48350205.0,1999.0,7.55,127.0,26.303285714285717,271.0060000000001,57.766,9.574142857142858,112.409,33.722,120.88,1.0
3349,492,Being John Malkovich,13000000.0,22863596.0,1999.0,7.415,113.0,22.51514285714286,295.193,41.709,5.510857142857143,64.134,12.275,175.87,1.0
3350,1439,Anna and the King,75000000.0,113996937.0,1999.0,6.756,148.0,13.496571428571428,141.39200000000002,32.403,2.4665714285714286,25.236,4.626,152.0,1.0
