Index,id,original_title,popularity,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
122,182,The Good German,10.826,32000000,5914908,2006,10.611,5.759,108,20.83671429,204.118,33.853,6.367428571,95.954,8.621
123,183,The Wizard,8.276,6000000,14278900,1989,12.675,6.008,100,18.32042857,179.52,33.853,2.188142857,22.016,4.317
124,184,Jackie Brown,17.137,12000000,39673162,1997,22.764,7.353,154,34.16442857,340.979,57.826,14.15585714,293.969,27.939
125,185,A Clockwork Orange,41.743,2200000,26589000,1971,37.647,8.221,137,9.988,154.985,17.231,8.041857143,84.91,15.779
126,186,Lucky Number Slevin,21.957,27000000,56308881,2006,27.66,7.477,110,36.76228571,334.327,64.203,2.824857143,147.137,4.466
127,187,Sin City,23.949,40000000,158733820,2005,25.858,7.435,124,34.24328571,619.425,43.52,16.86985714,334.539,27.939
128,189,Sin City: A Dame to Kill For,38.167,65000000,39407616,2014,40.716,6.36,102,39.91157143,606.168,51.282,6.524,111.443,6.8
129,192,The Name of the Rose,17.822,18000000,77200000,1986,18.778,7.469,130,20.06757143,217.572,43.051,3.754285714,72.806,8.254
130,193,Star Trek: Generations,21.501,38000000,120000000,1994,17.263,6.5,118,19.79042857,295.768,24.479,3.673428571,106.593,5.965
131,194,Le Fabuleux Destin d'Amélie Poulain,31.236,10000000,173921954,2001,25.436,7.905,122,10.00657143,180.166,18.426,3.286142857,94.245,4.64
132,196,Back to the Future Part III,28.562,40000000,244527583,1990,27.058,7.462,119,20.70171429,248.306,29.007,13.58785714,254.412,33.237
133,197,Braveheart,34.934,72000000,213216216,1995,35.784,7.931,178,22.263,335.383,34.653,14.22814286,345.794,30.765
134,198,To Be or Not to Be,10.757,1200000,1500000,1942,14.409,7.902,99,5.149285714,96.706,10.098,3.105857143,33.68,4.748
135,199,Star Trek: First Contact,31.393,46000000,150000000,1996,24.071,7.3,111,21.54614286,243.709,35.337,6.206857143,177.109,15.041
136,200,Star Trek: Insurrection,26.234,70000000,118000000,1998,20.637,6.4,103,16.985,215.228,22.92,8.509142857,249.868,22.92
137,201,Star Trek: Nemesis,31.696,60000000,67312826,2002,28.346,6.3,117,34.05714286,341.226,77.107,6.902142857,287.809,10.067
138,203,Mean Streets,10.882,500000,3000000,1973,14.76,7.113,112,19.438,175.055,57.826,9.769428571,95.226,15.775
139,204,Le Salaire de la peur,13.262,,,1953,12.614,8.019,153,3.602285714,32.986,8.098,2.212142857,29.609,3.099
140,205,Hotel Rwanda,14.526,17500000,38000000,2004,14.102,7.712,121,17.17728571,152.831,37.702,3.35,76.345,6.11
141,207,Dead Poets Society,44.544,16400000,235860116,1989,37.721,8.318,128,17.90328571,225.575,30.074,3.197,60.293,7.344
